id,name,initiate,aggro,affiliation,q,r,atk,def,spd,hp,item,style,fruit_id,block,dodge,trap,move1,type1,tags1,move2,type2,tags2,move3,type3,tags3,move4,type4,tags4,url,url win
daz,Mr. 1,0,3,b,22,-15,20,30,15,200,,,supa,Spider,,,Spiral Hollow,1,SLOW FOCUSED FLURRY,Atomic Spar,1,CRUSHER PRECISE,Spar Claw,1,MEDIUM PRECISE BURST,Sparkling Daisy,1,SLOW HEAVY ,https://static.wikia.nocookie.net/onepiece/images/e/e9/Daz_Bonez_Anime_Infobox.png/revision/latest?cb=20221102004113,
bon,Mr. 2,0,3,b,22,-15,19,28,18,,,,,,,,Swan Arabesque,,HEAVY BURST FOCUSED,Mascara Boomerang,1,CHIP BURST FOCUSED,Memoirs of a Winter Sky,,SLUGGISH HEAVY ,Bombardier Arabesque,,CRUSHER,,
bentham,Mr. 3,0,3,b,22,-15,,,,,,,doru,Candle Wall,,,,,,,,,,,,,,,,
alber,King,0,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
queen,Queen,0,2,p,22,-15,,,,,,,,,,,,,,,,,,,,,,,,
spino,Page One,0,2,p,22,-15,,,,,,,,,,,a chomp,,,,,,,,,,,,,
sasaki,Sasaki,0,2,p,22,-15,,,,,,,,his horn thingy,,,his horns,2,,a stomp,,,,,,,,,,
ulti,Ulti,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
maria,Black Maria,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
who,Who's Who,0,2,p,22,-15,,,,,,,,,,,,,,,,,,,,,,,,
wsc,Kaido,0,3,p,22,-15,880,1000,719,1000,,,seiryu,,,,Thunder Bagua,,HEAVY QUICK,Conquerer of the Three Worlds,,CRUSHER PRECISE QUICK EXHAUSTING,BLAST BREATH,2,HEAVY QUICK INACCURATE,,,,,
enel,God Enel,0,3,p,22,-15,560,320,650,450,,,goro,,,,El Thor,,CRUSHER PRECISE DRAINING,Vari,,MEDIUM QUICK PRECISE,Sango,,QUICK HEAVY INACCURATE MULTI,Hino Avian Zap,0,CRUSHER PRECISE QUICK DRAINING,,
wss,Dracule Mihawk,0,2,p,22,-15,912,622,890,810,,,,,,,Small Slash,1,MEDIUM QUICK PRECISE,Medium Slash,1,HEAVY QUICK,Large Slash,1,CRUSHER PRECISE DRAINING,Iceberg Slash,1,CRUSHER QUICK INACCURATE ,,
desk,Akainu,0,3,m,22,-15,935,760,755,876,,,magu,,,,Dai Funka,,MEDIUM QUICK INACCURATE,Ryusei Kazan,,MEDIUM QUICK INACCURATE MULTI,Inugami,,HEAVY PRECISE,Hell Hound,0,CRUSHER QUICK PRECISE DRAINING,,
light,Kizaru,0,2,m,22,-15,690,730,1000,790,,,pika,,,,Yasakani no Magatama,2,MEDIUM QUICK BARRAGE,Ama no Murakumo,1,HEAVY QUICK PRECISE,Amaterasu,,MEDIUM QUICK PRECISE ,,,,,
cold,Kuzan,0,2,p,22,-15,897,780,920,825,,,hie,,,,Ice Ball,,HEAVY PRECISE,Ice Block: Pheasant Peck,,CRUSHER PRECISE DRAINING,Ice Saber,1,HEAVY PRECISE,Ice Time,0,HEAVY QUICK PRECISE FOCUSED,,
him,Shanks ,0,2,p,22,-15,890,620,911,799,,,,,,,Divine Departure,1,HEAVY PRECISE ,,,,,,,,,,,
fire,Portgas D. Ace,0,2,p,22,-15,640,520,690,565,,,mera,,,,Fire Fist,,CRUSHER QUICK,Cross Fire,2,HEAVY QUICK,Fire Pillar,,HEAVY QUICK PRECISE,Flame Commandment: Emperor,0,CRUSHER SLOW PRECISE ,,
